id,state,female_salary,male_salary,combined_salary,median_home_price,name,latitude,longitude,ratio_total,ratio_male,ratio_female,density,unemployment
1,AL,35012,47034,40782.56,128000,Alabama,32.806671,-86.79113,3.138596498,2.721435557,3.655889409,74.9432516,5.4
2,AK,47518,56422,52059.04,273700,Alaska,61.370716,-152.404419,5.257492263,4.850944667,5.759922556,56.23699269,4.1
4,AZ,37966,46386,42091.8,233400,Arizona,33.729759,-111.431221,5.545023021,5.031690596,6.147605753,183.0651718,3.4
5,AR,32242,41156,36609.86,123000,Arkansas,34.969704,-92.373123,3.359750625,2.988628633,3.81489982,260.0922478,4.9
6,CA,45489,51417,48453,529900,California,36.116203,-119.681564,10.93637133,10.30592995,11.64897008,55.90233431,2.9
8,CO,43206,51264,47235,348400,Colorado,39.059811,-105.311104,7.375886525,6.79619226,8.063694857,35.40635494,3.5
9,CT,50991,64220,57473.21,246800,Connecticut,41.597782,-72.755371,4.294174625,3.843039552,4.840069816,103.005704,4.7
10,DE,41771,50924,46164.44,245900,Delaware,39.318523,-75.507141,5.326610699,4.828764433,5.886859304,92.99576757,3.8
12,FL,36112,41586,38739.52,217300,Florida,27.766279,-81.686783,5.609258969,5.225316212,6.017390341,61.61652473,4.8
13,GA,38278,46712,42326.32,162100,Georgia,33.040619,-83.643074,3.829768333,3.470200377,4.234808506,56.49411361,3.7
15,HI,41224,49373,45217.01,624200,Hawaii,21.094318,-157.498337,13.80453949,12.64253742,15.14166505,110.2275928,4.5
16,ID,34403,45305,39854,200300,Idaho,44.240459,-114.478828,5.025844332,4.421145569,5.822166672,87.70665688,3.7
17,IL,42108,53111,47499.47,170700,Illinois,40.349457,-88.986137,3.593724309,3.21402346,4.053861499,278.0473405,4.8
18,IN,36440,49157,42671.33,126000,Indiana,39.849426,-86.258278,2.952802268,2.563215819,3.457738749,221.0508513,4.9
19,IA,37791,49385,43588,131600,Iowa,42.011539,-93.210526,3.019179591,2.664776754,3.482310603,90.36188481,4.7
20,KS,37091,47891,42491,128400,Kansas,38.5266,-96.726486,3.021816385,2.681088305,3.461756221,159.360771,3.3
21,KY,36259,45521,40797.38,138700,Kentucky,37.66814,-84.670067,3.39972812,3.046945366,3.825257178,24.82202216,2.9
22,LA,34793,50031,42107.24,152441.72,Louisiana,31.169546,-91.867805,3.620320876,3.046945294,4.38139051,156.9124802,4.2
23,ME,40240,47890,43988.5,219700,Maine,44.693947,-69.381927,4.994487196,4.587596575,5.459741551,88.48360144,3.2
24,MD,51247,61321,56082.52,273500,Maryland,39.063946,-76.802101,4.876742343,4.460136006,5.33689777,175.5055846,4.5
25,MA,51666,62868,57154.98,386500,Massachusetts,42.230171,-71.530106,6.762315375,6.147801743,7.480741687,190.8900674,4.5
26,MI,39825,50869,45236.56,138700,Michigan,43.326618,-84.536095,3.066104054,2.726611492,3.482736974,105.3857681,4
27,MN,44132,53200,48575.32,213200,Minnesota,45.694454,-93.900192,4.389060124,4.007518797,4.83096166,647.297563,4.5
28,MS,31757,42146,36743.72,120400,Mississippi,32.741646,-89.678696,3.276750422,2.856736108,3.791290109,64.14398991,3.3
29,MO,36514,46543,41327.92,145500,Missouri,38.456085,-92.288368,3.520622378,3.126141418,3.984772964,10.68451547,2.6
30,MT,34028,46545,40286.5,212200,Montana,46.921925,-110.454353,5.267273156,4.559028897,6.236040907,5.922645081,4.1
31,NE,36699,47352,41918.97,157200,Nebraska,41.12537,-98.268082,3.750092142,3.319817537,4.283495463,11.27730269,3.4
32,NV,36681,45326,41003.5,261000,Nevada,38.313515,-117.055374,6.365310278,5.758284428,7.115400344,17.17311399,6
33,NH,44550,53581,48975.19,253600,New Hampshire,43.452492,-71.563896,5.17813203,4.733021034,5.692480359,487.8159991,4.1
34,NJ,50574,62311,56325.13,312400,New Jersey,40.298904,-74.521011,5.5463698,5.013561008,6.177087041,198.017029,3.6
35,NM,34668,42297,38406.21,182300,New Mexico,34.840515,-106.248482,4.746628215,4.309998345,5.258451598,37.75385655,3.1
36,NY,47358,53124,50125.68,309100,New York,42.165726,-74.948051,6.166499886,5.818462465,6.526880358,64.86791495,2.9
37,NC,36987,45180,40919.64,166900,North Carolina,35.630066,-79.806419,4.07872601,3.694112439,4.512396247,20.54494862,3
38,ND,38407,51789,45231.82,201500,North Dakota,47.528912,-99.784012,4.454828481,3.890787619,5.246439451,143.6153601,2.6
39,OH,38750,50227,44373.73,131000,Ohio,40.388783,-82.764915,2.952197167,2.608158958,3.380645161,1.115379945,7.2
40,OK,33972,46027,39999.5,117000,Oklahoma,35.565342,-96.928917,2.925036563,2.541986225,3.444012716,7.144150259,4.1
41,OR,40193,50676,45434.5,320500,Oregon,44.572021,-122.070938,7.054110863,6.324492857,7.974025328,386.4341755,4.5
42,PA,41047,51780,46306.17,163400,Pennsylvania,40.590752,-77.209755,3.52868743,3.155658555,3.980802495,685.8282903,4.5
44,RI,43541,53400,48371.91,268000,Rhode Island,41.680893,-71.51178,5.540405578,5.018726592,6.155118164,61.54714588,4.7
45,SC,35043,45038,39840.6,149300,South Carolina,33.856892,-80.945007,3.747433523,3.314978463,4.260479982,1032.603396,4.7
46,SD,35436,45384,40410,180900,South Dakota,44.299782,-99.438828,4.476614699,3.985986251,5.104977988,319.132094,3.9
47,TN,35916,43661,39711.05,147100,Tennessee,35.747845,-86.692345,3.704258638,3.369139507,4.095667669,36.53563895,3.2
48,TX,37576,47351,42365.75,175200,Texas,31.054487,-97.563461,4.135415991,3.700027455,4.662550564,363.8353068,4.7
49,UT,36022,51099,43560.5,264100,Utah,40.150032,-111.862434,6.062832153,5.168398599,7.33163067,27.11667644,4.9
50,VT,41122,47840,44481,223100,Vermont,44.045876,-72.710686,5.015624649,4.663461538,5.42531978,649.9382732,3.5
51,VA,44798,55817,50087.12,246300,Virginia,37.769337,-78.169968,4.917431867,4.412634144,5.498013304,103.8678877,4.7
53,WA,45056,58864,51960,355600,Washington,47.400902,-121.490494,6.843725943,6.041043762,7.892400568,42.10966711,4.1
54,WV,33228,46029,39628.5,104100,West Virginia,38.491226,-80.954453,2.626897309,2.261617676,3.132899964,53.86647802,3
55,WI,39440,50399,44919.5,170100,Wisconsin,44.268543,-89.616508,3.786774118,3.375066966,4.312880325,241.5254915,4.5
56,WY,39338,51234,45286,202600,Wyoming,42.755966,-107.30249,4.473788809,3.954405278,5.150236413,130.5956099,2.1
